epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,1163.76,0.8614,1.24863,1.18001,0.9936,0.99858,0.995,0.81541,0.70411,0.57017,1.00316,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606
69,1180.61,0.8264,1.17048,1.16623,0.99182,0.99965,0.995,0.82714,0.67282,0.56475,0.99165,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061
70,1197.65,0.79339,1.14641,1.13858,0.99179,0.99889,0.995,0.83207,0.65843,0.55462,0.98637,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062
71,1214.86,0.78826,1.13025,1.152,0.99214,0.99886,0.995,0.81996,0.68413,0.56001,0.99656,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
72,1233.18,0.79304,1.14406,1.14771,0.99158,0.99827,0.995,0.80242,0.73346,0.57274,1.00854,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064
73,1249.88,0.83019,1.23193,1.16877,0.99049,0.99953,0.995,0.81102,0.7088,0.5675,0.99566,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065
74,1266.85,0.79597,1.19992,1.14389,0.99038,1,0.995,0.81522,0.69995,0.56234,0.99012,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066
75,1284.88,0.80737,1.18886,1.14922,0.98863,0.99727,0.995,0.81141,0.71445,0.56845,0.99645,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067
76,1301.35,0.79281,1.14666,1.14369,0.98903,0.99044,0.99044,0.79833,0.7506,0.57049,1.01174,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
77,1319.32,0.81128,1.20505,1.15699,0.98515,0.99549,0.99047,0.78885,0.78409,0.56931,1.02756,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068
78,1336.13,0.77655,1.12146,1.12855,0.99182,0.99821,0.995,0.81083,0.70544,0.55335,0.99839,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069
79,1354.13,0.81577,1.16741,1.18569,0.99308,0.99826,0.995,0.83139,0.6541,0.54639,0.9795,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707
80,1371.09,0.77881,1.14246,1.13852,0.9942,0.99867,0.995,0.8297,0.66211,0.54824,0.98567,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071
81,1388.64,0.82322,1.16879,1.15219,0.99476,0.9993,0.995,0.82021,0.69489,0.54736,0.99709,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
82,1405.43,0.79581,1.14017,1.11771,0.99448,0.99869,0.995,0.8172,0.70111,0.55116,0.99865,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073
83,1423.31,0.78732,1.11467,1.13867,0.99406,0.99712,0.995,0.81517,0.70091,0.55569,0.99722,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074
84,1441.12,0.76436,1.12117,1.14253,0.99324,0.99712,0.995,0.82816,0.671,0.54667,0.98211,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075
85,1458.7,0.76773,1.14327,1.145,0.99273,0.99722,0.995,0.82973,0.6625,0.54037,0.97745,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076
